〔日経２２５〕,　〔１分足〕,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,　〔３分足〕,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,　〔５分足〕,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,　〔１０分足〕,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,　〔１５分足〕,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,　〔２０分足〕,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,　〔３０分足〕,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,　〔６０分足〕,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,　〔日中足〕,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,　〔夜間足〕,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,時刻,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高,,↓日付,始値,高値,安値,終値,出来高
24/07/31,8:45,38050,38070,38010,38020,466,,8:45,38050,38070,38010,38030,669,,8:45,38050,38070,38010,38040,979,,8:45,38050,38070,38010,38070,1265,,8:45,38050,38070,38010,38050,1520,,8:45,38050,38070,37950,37950,3192,,8:45,38050,38070,37950,37990,5862,,8:45,38050,38210,37950,38180,9682,,24/07/31,38050,39230,37950,39230,57377,,24/07/31,39090,39090,38390,38710,27640
24/07/31,8:46,38030,38030,38020,38020,55,,8:48,38030,38070,38030,38050,353,,8:50,38050,38070,38040,38070,286,,8:55,38060,38070,37950,37950,1927,,9:00,38040,38070,37950,37990,4342,,9:05,37960,38110,37950,38090,4326,,9:15,37980,38210,37980,38180,3820,,9:45,38190,38230,38130,38190,4460,,,,,,,,,,,,,,
24/07/31,8:47,38020,38030,38010,38030,148,,8:51,38050,38060,38040,38050,215,,8:55,38060,38070,38030,38050,255,,9:05,37960,38070,37950,37990,2670,,9:15,37980,38150,37980,38090,2322,,9:25,38090,38210,38060,38180,2164,,9:45,38190,38230,38130,38160,2665,,10:45,38190,38410,38150,38360,4159,,,,,,,,,,,,,,
24/07/31,8:48,38030,38050,38030,38040,125,,8:54,38060,38070,38030,38060,199,,9:00,38040,38050,37950,37950,1672,,9:15,37980,38110,37980,38090,1656,,9:30,38090,38210,38060,38180,1498,,9:45,38190,38230,38160,38190,1902,,10:15,38170,38200,38130,38190,1795,,11:45,38360,38480,38320,38360,1264,,,,,,,,,,,,,,
24/07/31,8:49,38040,38070,38040,38040,185,,8:57,38060,38070,38050,38050,84,,9:05,37960,38070,37950,38050,1709,,9:25,38090,38150,38060,38110,1214,,9:45,38190,38230,38160,38180,1522,,10:05,38190,38200,38130,38200,1364,,10:45,38190,38270,38150,38250,2303,,12:45,38360,38720,38090,38630,11517,,,,,,,,,,,,,,
24/07/31,8:50,38050,38050,38050,38050,43,,9:00,38040,38050,37960,37980,1131,,9:10,38040,38040,37990,37990,961,,9:35,38110,38210,38110,38180,950,,10:00,38180,38220,38130,38160,1143,,10:25,38190,38200,38130,38190,1194,,11:15,38250,38410,38240,38360,1856,,13:45,38630,39080,38500,38980,12061,,,,,,,,,,,,,,
24/07/31,8:51,38050,38060,38040,38050,61,,9:03,37980,38030,37950,37990,1002,,9:15,37980,38090,37980,38050,924,,9:45,38190,38230,38160,38180,1094,,10:15,38170,38200,38150,38180,773,,10:45,38190,38260,38170,38170,1247,,11:45,38360,38400,38340,38350,357,,14:45,38990,39220,38980,39180,12482,,,,,,,,,,,,,,
24/07/31,8:52,38050,38060,38050,38050,100,,9:06,37980,38070,37950,38050,1037,,9:20,38050,38110,38050,38090,732,,9:55,38180,38220,38170,38190,808,,10:30,38190,38200,38130,38190,1022,,11:05,38170,38360,38150,38350,2025,,12:15,38360,38480,38320,38360,907,,15:15,39230,39230,39230,39230,1752,,,,,,,,,,,,,,
24/07/31,8:53,38060,38060,38050,38050,54,,9:09,38050,38070,38000,38020,570,,9:25,38090,38150,38070,38090,666,,10:05,38190,38200,38130,38160,763,,10:45,38190,38260,38180,38190,1013,,11:25,38350,38410,38310,38360,887,,12:45,38360,38630,38090,38510,6106,,16:30,39090,39090,38440,38660,9555,,,,,,,,,,,,,,
24/07/31,8:54,38060,38070,38050,38070,28,,9:12,38020,38040,37990,37990,602,,9:30,38090,38120,38060,38110,548,,10:15,38170,38200,38150,38200,601,,11:00,38200,38270,38150,38250,1290,,11:45,38360,38400,38340,38370,239,,13:15,38510,38720,38450,38630,5411,,17:30,38660,38710,38540,38590,1849,,,,,,,,,,,,,,
24/07/31,8:55,38060,38060,38030,38050,119,,9:15,37980,38040,37980,38030,556,,9:35,38110,38160,38110,38140,424,,10:25,38190,38200,38130,38140,532,,11:15,38250,38410,38240,38360,1545,,12:05,38370,38480,38350,38420,399,,13:45,38630,38710,38500,38590,4435,,18:30,38580,38610,38480,38530,1252,,,,,,,,,,,,,,
24/07/31,8:56,38050,38060,38050,38060,52,,9:18,38040,38100,38040,38090,498,,9:40,38140,38210,38140,38180,526,,10:35,38140,38200,38130,38190,662,,11:30,38360,38400,38310,38360,311,,12:25,38420,38480,38320,38360,626,,14:15,38580,39080,38510,38980,7626,,19:30,38540,38570,38470,38500,688,,,,,,,,,,,,,,
24/07/31,8:57,38060,38070,38060,38070,22,,9:21,38090,38110,38060,38060,443,,9:45,38190,38210,38160,38190,556,,10:45,38190,38260,38190,38200,709,,11:45,38360,38400,38340,38370,178,,12:45,38360,38630,38090,38460,5058,,14:45,38990,39220,38980,39180,12482,,20:30,38500,38540,38460,38500,609,,,,,,,,,,,,,,
24/07/31,8:58,38070,38070,38060,38060,43,,9:24,38060,38130,38060,38120,433,,9:50,38190,38230,38160,38180,538,,10:55,38200,38220,38170,38170,538,,12:00,38370,38390,38350,38350,179,,13:05,38460,38720,38420,38490,4131,,15:15,39230,39230,39230,39230,1752,,21:30,38500,38700,38490,38590,1083,,,,,,,,,,,,,,
24/07/31,8:59,38060,38060,38050,38050,19,,9:27,38120,38150,38070,38090,392,,9:55,38180,38200,38170,38180,428,,11:05,38170,38270,38150,38250,1056,,12:15,38360,38480,38360,38390,319,,13:25,38500,38630,38450,38630,2328,,16:30,39090,39090,38570,38640,6388,,22:30,38590,38770,38390,38750,3652,,,,,,,,,,,,,,
24/07/31,9:00,38040,38050,37990,38010,456,,9:30,38090,38100,38060,38100,348,,10:00,38180,38220,38180,38190,380,,11:15,38250,38360,38240,38350,969,,12:30,38400,38480,38320,38360,588,,13:45,38630,38710,38510,38530,3250,,17:00,38650,38670,38440,38660,3167,,23:30,38750,38840,38660,38760,2127,,,,,,,,,,,,,,
24/07/31,9:01,38020,38030,37970,37990,315,,9:33,38090,38150,38090,38140,312,,10:05,38190,38200,38130,38130,388,,11:25,38350,38410,38310,38360,763,,12:45,38360,38550,38090,38530,2704,,14:05,38530,38630,38500,38610,2306,,17:30,38660,38710,38540,38610,1188,,0:30,38770,38810,38710,38780,1238,,,,,,,,,,,,,,
24/07/31,9:02,37990,37990,37960,37980,360,,9:36,38140,38160,38120,38140,255,,10:10,38130,38170,38130,38160,375,,11:35,38350,38400,38350,38360,124,,13:00,38540,38630,38360,38510,3402,,14:25,38600,39080,38550,38980,6505,,18:00,38610,38650,38570,38590,661,,1:30,38770,38790,38680,38720,457,,,,,,,,,,,,,,
24/07/31,9:03,37980,37990,37960,37960,285,,9:39,38150,38190,38140,38160,333,,10:15,38170,38200,38150,38200,330,,11:45,38360,38370,38340,38370,102,,13:15,38510,38720,38450,38510,3837,,14:45,38990,39200,38980,39150,11414,,18:30,38580,38610,38520,38530,545,,2:30,38720,38820,38640,38780,1142,,,,,,,,,,,,,,
24/07/31,9:04,37960,37970,37950,37950,256,,9:42,38160,38210,38160,38180,250,,10:20,38200,38200,38160,38200,271,,11:55,38360,38400,38350,38370,137,,13:30,38510,38630,38480,38630,1574,,15:05,39150,39220,39120,39180,1068,,19:00,38530,38560,38480,38530,707,,3:30,38790,38940,38510,38560,2163,,,,,,,,,,,,,,
24/07/31,9:05,37960,38030,37960,37990,461,,9:45,38190,38210,38170,38190,366,,10:25,38190,38200,38170,38180,172,,12:05,38370,38390,38350,38350,118,,13:45,38630,38710,38530,38580,2569,,15:15,39230,39230,39230,39230,1752,,19:30,38540,38570,38520,38550,264,,4:30,38540,38780,38510,38730,1691,,,,,,,,,,,,,,
24/07/31,9:06,37980,37990,37960,37970,272,,9:48,38190,38230,38160,38210,310,,10:30,38190,38190,38130,38140,360,,12:15,38360,38480,38360,38420,281,,14:00,38580,38620,38500,38590,1866,,16:30,39090,39090,38820,38840,3167,,20:00,38540,38540,38470,38500,424,,5:30,38730,38730,38680,38700,107,,,,,,,,,,,,,,
24/07/31,9:07,37960,37980,37950,37970,293,,9:51,38200,38200,38160,38190,291,,10:35,38140,38170,38140,38160,163,,12:25,38420,38420,38360,38390,167,,14:15,38580,38630,38510,38590,1445,,16:50,38830,38870,38490,38520,4807,,20:30,38500,38530,38460,38490,312,,6:00,38710,38710,38710,38710,27,,,,,,,,,,,,,,
24/07/31,9:08,37980,38070,37970,38050,472,,9:54,38190,38200,38170,38200,341,,10:40,38150,38200,38130,38190,499,,12:35,38390,38480,38320,38360,459,,14:30,38600,39080,38600,38980,6181,,17:10,38520,38660,38440,38660,1581,,21:00,38490,38540,38460,38500,297,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:09,38050,38070,38030,38050,211,,9:57,38190,38200,38170,38180,214,,10:45,38190,38230,38190,38220,270,,12:45,38360,38370,38260,38310,459,,14:45,38990,39190,38980,39100,7871,,17:30,38660,38710,38540,38590,755,,21:30,38500,38700,38490,38650,671,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:10,38040,38040,38000,38030,213,,10:00,38180,38210,38180,38210,226,,10:50,38220,38260,38190,38200,439,,12:55,38310,38630,38090,38460,4599,,15:00,39100,39220,39030,39180,4611,,17:50,38590,38630,38570,38590,715,,22:00,38650,38660,38580,38590,412,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:11,38030,38040,38020,38020,146,,10:03,38210,38220,38180,38190,241,,10:55,38200,38220,38180,38190,304,,13:05,38460,38510,38420,38510,1048,,15:15,39230,39230,39230,39230,1752,,18:10,38580,38650,38570,38590,379,,22:30,38590,38600,38400,38420,1761,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:12,38020,38040,38000,38010,228,,10:06,38190,38190,38140,38150,226,,11:00,38200,38210,38170,38170,234,,13:15,38510,38720,38480,38490,3083,,16:30,39090,39090,38860,38890,2546,,18:30,38580,38610,38540,38560,340,,23:00,38420,38770,38390,38750,1891,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:13,38010,38020,38000,38000,204,,10:09,38140,38160,38130,38140,272,,11:05,38170,38210,38150,38210,287,,13:25,38500,38540,38450,38540,1342,,16:45,38880,38900,38570,38640,3842,,18:50,38560,38580,38480,38510,565,,23:30,38750,38840,38660,38740,1288,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:14,38010,38020,37990,37990,170,,10:12,38140,38170,38140,38160,178,,11:10,38210,38270,38210,38250,769,,13:35,38550,38630,38490,38630,986,,17:00,38650,38670,38440,38490,2282,,19:10,38530,38560,38500,38530,347,,0:00,38750,38790,38740,38760,839,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:15,37980,38010,37980,37990,213,,10:15,38170,38190,38150,38170,257,,11:15,38250,38270,38240,38270,351,,13:45,38630,38710,38610,38630,1510,,17:15,38490,38660,38490,38660,885,,19:30,38540,38550,38520,38540,159,,0:30,38770,38810,38710,38730,918,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:16,37990,38030,37990,38030,141,,10:18,38180,38200,38180,38180,124,,11:20,38270,38360,38240,38350,618,,13:55,38630,38640,38510,38530,1740,,17:30,38660,38710,38540,38590,586,,19:50,38540,38570,38480,38530,264,,1:00,38740,38810,38730,38780,320,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:17,38030,38040,38010,38030,202,,10:21,38180,38190,38160,38190,163,,11:25,38350,38410,38340,38360,576,,14:05,38530,38620,38500,38590,1185,,17:45,38600,38630,38570,38610,602,,20:10,38530,38540,38470,38500,265,,1:30,38770,38790,38720,38720,181,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:18,38040,38060,38040,38060,242,,10:24,38190,38200,38170,38190,137,,11:30,38360,38370,38310,38360,187,,14:15,38580,38630,38510,38610,1121,,18:00,38610,38630,38570,38580,337,,20:30,38500,38530,38460,38530,248,,2:00,38720,38770,38680,38720,276,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:19,38060,38090,38050,38050,126,,10:27,38190,38200,38170,38180,92,,11:35,38350,38400,38350,38390,82,,14:25,38600,38670,38550,38640,960,,18:15,38580,38650,38570,38590,324,,20:50,38530,38530,38460,38500,142,,2:30,38720,38750,38640,38720,502,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:20,38050,38100,38050,38090,130,,10:30,38190,38190,38140,38140,234,,11:40,38380,38380,38350,38360,42,,14:35,38640,39080,38640,38980,5545,,18:30,38580,38610,38560,38570,263,,21:10,38500,38540,38490,38500,219,,3:00,38700,38820,38700,38780,640,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:21,38090,38110,38080,38110,169,,10:33,38140,38150,38130,38150,167,,11:45,38360,38360,38340,38350,43,,14:45,38990,39190,38980,39160,4833,,18:45,38570,38590,38520,38530,282,,21:30,38500,38680,38490,38670,450,,3:30,38790,38940,38750,38910,712,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:22,38110,38110,38080,38080,153,,10:36,38140,38170,38140,38160,103,,11:50,38350,38370,38350,38370,59,,14:55,39160,39200,39030,39150,6581,,19:00,38530,38540,38480,38520,487,,21:50,38660,38700,38620,38650,369,,4:00,38920,38920,38510,38560,1451,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:23,38080,38080,38060,38060,121,,10:39,38160,38160,38130,38140,314,,11:55,38360,38400,38350,38370,76,,15:05,39150,39220,39120,39180,1068,,19:15,38520,38560,38500,38530,220,,22:10,38650,38660,38580,38590,264,,4:30,38540,38780,38510,38650,1213,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:24,38060,38090,38060,38090,159,,10:42,38150,38200,38140,38190,204,,12:00,38370,38380,38350,38370,61,,15:15,39230,39230,39230,39230,1752,,19:30,38540,38550,38520,38530,124,,22:30,38590,38600,38460,38470,1132,,5:00,38660,38770,38650,38730,478,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:25,38090,38120,38090,38120,135,,10:45,38190,38230,38190,38230,166,,12:05,38370,38390,38350,38360,85,,16:30,39090,39090,38900,38920,1801,,19:45,38530,38570,38530,38550,140,,22:50,38470,38470,38390,38460,1194,,5:30,38730,38730,38680,38700,107,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:26,38130,38130,38110,38120,139,,10:48,38230,38240,38210,38240,163,,12:10,38370,38370,38350,38350,33,,16:40,38930,38940,38820,38840,1366,,20:00,38540,38540,38480,38510,181,,23:10,38470,38770,38470,38750,1326,,6:00,38710,38710,38710,38710,27,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:27,38120,38150,38110,38110,192,,10:51,38230,38260,38220,38230,233,,12:15,38360,38400,38360,38390,53,,16:50,38830,38870,38570,38640,3221,,20:15,38510,38520,38470,38500,243,,23:30,38750,38840,38730,38790,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:28,38110,38110,38080,38080,84,,10:54,38220,38220,38190,38210,223,,12:20,38390,38480,38390,38420,228,,17:00,38650,38670,38490,38520,1586,,20:30,38500,38500,38460,38490,161,,23:50,38790,38790,38660,38760,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:29,38080,38100,38070,38090,116,,10:57,38210,38210,38180,38190,228,,12:25,38420,38420,38380,38390,38,,17:10,38520,38560,38440,38530,1054,,20:45,38500,38530,38480,38490,151,,0:10,38750,38790,38740,38760,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:30,38090,38090,38060,38080,145,,11:00,38200,38210,38170,38180,199,,12:30,38400,38400,38360,38390,129,,17:20,38540,38660,38510,38660,527,,21:00,38490,38510,38460,38510,108,,0:30,38770,38810,38730,38780,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:31,38080,38100,38070,38100,98,,11:03,38180,38180,38170,38180,76,,12:35,38390,38480,38360,38400,286,,17:30,38660,38710,38560,38600,383,,21:15,38510,38540,38490,38500,189,,0:50,38770,38780,38710,38750,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:32,38100,38100,38070,38100,105,,11:06,38180,38190,38150,38190,134,,12:40,38390,38430,38320,38360,173,,17:40,38600,38630,38540,38590,372,,21:30,38500,38620,38490,38620,292,,1:10,38750,38810,38750,38780,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:33,38090,38120,38090,38120,112,,11:09,38200,38250,38200,38240,388,,12:45,38360,38360,38260,38350,362,,17:50,38590,38620,38570,38610,433,,21:45,38620,38700,38620,38650,379,,1:30,38770,38790,38750,38790,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:34,38120,38120,38100,38110,88,,11:12,38230,38270,38230,38250,493,,12:50,38360,38370,38310,38310,97,,18:00,38610,38630,38570,38590,282,,22:00,38650,38660,38620,38640,215,,1:50,38780,38780,38710,38750,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:35,38110,38150,38110,38140,112,,11:15,38250,38260,38240,38260,206,,12:55,38310,38550,38090,38530,2245,,18:10,38580,38650,38570,38630,164,,22:15,38630,38650,38580,38590,197,,2:10,38750,38770,38680,38720,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:36,38140,38140,38130,38140,66,,11:18,38260,38270,38240,38250,274,,13:00,38540,38630,38360,38460,2354,,18:20,38630,38650,38580,38590,215,,22:30,38590,38600,38460,38460,913,,2:30,38720,38720,38640,38720,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:37,38150,38160,38130,38130,101,,11:21,38250,38300,38250,38290,222,,13:05,38460,38500,38420,38480,578,,18:30,38580,38610,38570,38580,140,,22:45,38460,38510,38400,38420,848,,2:50,38730,38820,38700,38780,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:38,38120,38140,38120,38140,88,,11:24,38290,38410,38290,38380,681,,13:10,38480,38510,38450,38510,470,,18:40,38570,38590,38540,38560,200,,23:00,38420,38530,38390,38530,785,,3:10,38770,38800,38760,38780,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:39,38150,38150,38140,38140,57,,11:27,38370,38370,38350,38360,162,,13:15,38510,38720,38500,38640,1539,,18:50,38560,38580,38520,38530,205,,23:15,38540,38770,38510,38750,1106,,3:30,38790,38930,38750,38930,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:40,38140,38190,38140,38180,133,,11:30,38360,38370,38310,38350,154,,13:20,38640,38640,38480,38490,1544,,19:00,38530,38540,38480,38510,360,,23:30,38750,38800,38730,38780,544,,3:50,38930,38940,38850,38850,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:41,38180,38180,38150,38160,143,,11:33,38350,38360,38340,38350,51,,13:25,38500,38520,38450,38510,754,,19:10,38530,38540,38500,38540,261,,23:45,38790,38840,38660,38740,744,,4:10,38850,38860,38510,38560,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/31,9:42,38160,38180,38160,38170,43,,11:36,38350,38390,38350,38390,46,,13:30,38510,38540,38480,38540,588,,19:20,38530,38560,38530,38530,86,,0:00,38750,38780,38740,38760,343,,4:30,38540,38780,38510,38710,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
